sid_designator,fix_designator,compulsory,location_designator
RNAV DEPARTURE RWY 02,ALFRA,yes,MHTG
RNAV DEPARTURE RWY 02,ARITA,yes,MHTG
RNAV DEPARTURE RWY 02,LIBIS,yes,MHTG
RNAV DEPARTURE RWY 02,TALAG,yes,MHTG
RNAV DEPARTURE RWY 02,TG002,yes,MHTG
RNAV DEPARTURE RWY 02,TG003,yes,MHTG
RNAV DEPARTURE RWY 02,TG004,yes,MHTG
RNAV DEPARTURE RWY 02,TG005,yes,MHTG
RNAV DEPARTURE RWY 02,TG006,yes,MHTG
RNAV DEPARTURE RWY 02,TG007,yes,MHTG
RNAV DEPARTURE RWY 02,TG030,yes,MHTG
RNAV DEPARTURE RWY 02,VITAN,yes,MHTG
RNAV DEPARTURE RWY 02,VOR/DME BTO,yes,MHTG
RNAV DEPARTURE RWY 02,VOR/DME LMS,yes,MHTG
